University,Major/Programme,Requirements (A-level),GPA
Simon Fraser University,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
Simon Fraser University,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""BBB""}","{""scale"": ""4.0"", ""minimum"": 3.2}"
University of Victoria,Computer Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Mechanical Engineering,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Business/Commerce,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Life Sciences/Biology,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Health Sciences/Pre-Med,"{""min_subjects"": 3, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Psychology,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Economics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Political Science/International Relations,"{""min_subjects"": 3, ""required"": [], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Mathematics/Statistics,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
University of Victoria,Environmental Science,"{""min_subjects"": 3, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CCC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Computer Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Mechanical Engineering,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Business/Commerce,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Life Sciences/Biology,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Health Sciences/Pre-Med,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Psychology,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Economics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Political Science/International Relations,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Mathematics/Statistics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
Dalhousie University,Environmental Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Computer Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Mechanical Engineering,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Business/Commerce,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Life Sciences/Biology,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Health Sciences/Pre-Med,"{""min_subjects"": 2, ""required"": [{""subject"": ""Biology"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}, {""subject"": ""Physics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Psychology,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Economics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Political Science/International Relations,"{""min_subjects"": 2, ""required"": [], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Mathematics/Statistics,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
York University,Environmental Science,"{""min_subjects"": 2, ""required"": [{""subject"": ""Mathematics"", ""min_grade"": ""A""}, {""subject"": ""Chemistry"", ""min_grade"": ""A""}], ""overall_band"": ""CC""}","{""scale"": ""4.0"", ""minimum"": 3.0}"
